,City & State,Year,Total Population,White,Black/Afro-American,Latino,Asian,Team
0,"Atlanta city, Georgia",2012,425931,166054,229317,22929,14160,Atlanta United FC
1,"Seattle city, Washington",2012,612916,432714,47887,37880,85935,Seattle Sounders
2,"Orlando city, Florida",2012,240185,139251,69373,61886,7873,Orlando City
3,"New York city, New York",2012,8199221,3646181,2059279,2343458,1053649,New York City FC
4,"Carson city, California",2012,91937,29620,17968,36340,23769,Los Angeles Galaxy
5,"Newark city, New Jersey",2012,276478,76275,143713,91931,4508,New York Red Bulls
6,"Portland city, Oregon",2012,585888,454159,37922,54420,42426,Portland Timbers
7,"Minneapolis city, Minnesota",2012,385023,263089,67461,38156,21153,Minnesota United FC
8,"San Jose city, California",2012,954379,448526,29674,315241,310783,San Jose Earthquakes
9,"Kansas City city, Kansas",2012,145605,86500,39568,40187,4067,Sporting Kansas City
10,"Foxborough CDP, Massachusetts",2012,5524,5030,181,184,294,New England Revolution
11,"Sandy city, Utah",2012,87952,80636,628,6065,2805,Real Salt Lake
12,"Washington city, District of Columbia",2012,605759,239413,309263,56259,21440,D.C. United
13,"Houston city, Texas",2012,2107449,1207589,497340,917133,129460,Houston Dynamo
14,"Bridgeview village, Illinois",2012,16394,13808,518,2758,1052,Chicago Fire
15,"Chester city, Pennsylvania",2012,34127,6186,25979,2803,188,Philadelphia Union
16,"Columbus city, Ohio",2012,790168,494579,218501,42993,33497,Columbus Crew
17,"Commerce City city, Colorado",2012,45537,33767,1543,21300,1120,Colorado Rapids
18,"Frisco city, Texas",2012,116944,89910,8731,14812,10887,FC Dallas
19,"Atlanta city, Georgia",2013,432589,170176,231628,23089,15674,Atlanta United FC
20,"Seattle city, Washington",2013,624681,440866,46310,40110,87953,Seattle Sounders
21,"Orlando city, Florida",2013,244931,144381,70080,63918,8455,Orlando City
22,"New York city, New York",2013,8268999,3659155,2057226,2371116,1077554,New York City FC
23,"Carson city, California",2013,91994,28783,18605,36472,23974,Los Angeles Galaxy
24,"Newark city, New Jersey",2013,277357,71756,143381,94480,4089,New York Red Bulls
25,"Portland city, Oregon",2013,594687,460202,37225,56058,44552,Portland Timbers
26,"Minneapolis city, Minnesota",2013,389112,260528,67991,38887,23045,Minnesota United FC
27,"San Jose city, California",2013,968903,445070,30401,321550,317821,San Jose Earthquakes
28,"Kansas City city, Kansas",2013,146581,87741,39139,41124,4420,Sporting Kansas City
29,"Foxborough CDP, Massachusetts",2013,5233,4731,206,212,272,New England Revolution
30,"Sandy city, Utah",2013,88672,80249,711,6945,3081,Real Salt Lake
31,"Washington city, District of Columbia",2013,619371,248141,310530,59479,21845,D.C. United
32,"Houston city, Texas",2013,2134707,1236091,501087,931154,133326,Houston Dynamo
33,"Bridgeview village, Illinois",2013,16457,13996,479,2791,899,Chicago Fire
34,"Chester city, Pennsylvania",2013,34011,6003,25956,2843,100,Philadelphia Union
35,"Columbus city, Ohio",2013,800594,498128,221768,44812,33804,Columbus Crew
36,"Commerce City city, Colorado",2013,47239,36003,1543,21523,1351,Colorado Rapids
37,"Frisco city, Texas",2013,123663,94916,8800,15535,12746,FC Dallas
38,"Atlanta city, Georgia",2014,440641,174974,233142,24489,16649,Atlanta United FC
39,"Seattle city, Washington",2014,637850,445886,46687,40577,90799,Seattle Sounders
40,"Orlando city, Florida",2014,250224,147922,71243,67003,9098,Orlando City
41,"New York city, New York",2014,8354889,3646761,2067708,2407983,1106989,New York City FC
42,"Carson city, California",2014,92475,28468,19175,36643,23913,Los Angeles Galaxy
43,"Newark city, New Jersey",2014,278750,68412,141660,96976,5126,New York Red Bulls
44,"Portland city, Oregon",2014,602568,466065,36597,58078,45340,Portland Timbers
45,"Minneapolis city, Minnesota",2014,394424,261735,70408,38719,23092,Minnesota United FC
46,"San Jose city, California",2014,986320,446860,31180,326299,327854,San Jose Earthquakes
47,"Kansas City city, Kansas",2014,147598,88418,38842,41569,4828,Sporting Kansas City
48,"Foxborough CDP, Massachusetts",2014,5013,4637,103,273,271,New England Revolution
49,"Sandy city, Utah",2014,89521,81238,525,7322,2726,Real Salt Lake
50,"Washington city, District of Columbia",2014,633736,254955,314138,62637,22785,D.C. United
51,"Houston city, Texas",2014,2167988,1252228,504796,951493,136624,Houston Dynamo
52,"Bridgeview village, Illinois",2014,16550,14294,372,2829,753,Chicago Fire
53,"Chester city, Pennsylvania",2014,34007,6587,25162,3420,190,Philadelphia Union
54,"Columbus city, Ohio",2014,811943,501075,225624,46260,36329,Columbus Crew
55,"Commerce City city, Colorado",2014,48792,39013,1605,22218,1311,Colorado Rapids
56,"Frisco city, Texas",2014,130499,96735,9863,17125,15275,FC Dallas
57,"Atlanta city, Georgia",2015,448901,179569,237347,22495,17523,Atlanta United FC
58,"Seattle city, Washington",2015,653017,454000,47202,42490,92776,Seattle Sounders
59,"Orlando city, Florida",2015,256738,154774,69840,74281,8944,Orlando City
60,"New York city, New York",2015,8426743,3648214,2065597,2437297,1139294,New York City FC
61,"Carson city, California",2015,92691,28776,19151,36495,23941,Los Angeles Galaxy
62,"Newark city, New Jersey",2015,279793,68047,140289,99681,5100,New York Red Bulls
63,"Portland city, Oregon",2015,612206,475155,35667,59670,46389,Portland Timbers
64,"Minneapolis city, Minnesota",2015,399950,260948,73216,39857,24091,Minnesota United FC
65,"San Jose city, California",2015,1000860,439009,30379,329648,337966,San Jose Earthquakes
66,"Kansas City city, Kansas",2015,148855,88772,38065,42774,5481,Sporting Kansas City
67,"Foxborough CDP, Massachusetts",2015,5326,4975,107,267,241,New England Revolution
68,"Sandy city, Utah",2015,91533,82187,551,7219,2791,Real Salt Lake
69,"Washington city, District of Columbia",2015,647484,260325,316447,65803,23822,D.C. United
70,"Houston city, Texas",2015,2217706,1290888,511729,972785,142260,Houston Dynamo
71,"Bridgeview village, Illinois",2015,16359,14147,347,2737,739,Chicago Fire
72,"Chester city, Pennsylvania",2015,34016,6674,24707,3940,214,Philadelphia Union
73,"Columbus city, Ohio",2015,824663,507217,229012,47007,37987,Columbus Crew
74,"Commerce City city, Colorado",2015,50346,41812,2168,22955,957,Colorado Rapids
75,"Frisco city, Texas",2015,137797,99705,9876,17361,18937,FC Dallas
76,"Atlanta city, Georgia",2016,456378,182794,239005,21838,18235,Atlanta United FC
77,"Seattle city, Washington",2016,668849,462673,47493,43868,94619,Seattle Sounders
78,"Orlando city, Florida",2016,263306,160607,69572,77009,10109,Orlando City
79,"New York city, New York",2016,8461961,3644982,2064927,2457945,1159883,New York City FC
80,"Carson city, California",2016,92780,27282,19830,37011,23963,Los Angeles Galaxy
81,"Newark city, New Jersey",2016,280139,68226,140750,100950,4914,New York Red Bulls
82,"Portland city, Oregon",2016,620589,482410,35465,60040,47045,Portland Timbers
83,"Minneapolis city, Minnesota",2016,404670,262130,76070,38832,23911,Minnesota United FC
84,"San Jose city, California",2016,1009363,425883,31096,329135,344188,San Jose Earthquakes
85,"Kansas City city, Kansas",2016,149755,88953,37530,43727,5786,Sporting Kansas City
86,"Foxborough CDP, Massachusetts",2016,5491,4975,400,225,114,New England Revolution
87,"Sandy city, Utah",2016,93141,83923,609,8021,2949,Real Salt Lake
88,"Washington city, District of Columbia",2016,659009,266035,318598,69106,24036,D.C. United
89,"Houston city, Texas",2016,2240582,1305482,511398,992886,149265,Houston Dynamo
90,"Bridgeview village, Illinois",2016,16381,14061,647,2783,849,Chicago Fire
91,"Chester city, Pennsylvania",2016,34056,6864,24268,4056,200,Philadelphia Union
92,"Columbus city, Ohio",2016,837038,511628,234021,48331,41204,Columbus Crew
93,"Commerce City city, Colorado",2016,51731,43617,1640,23598,992,Colorado Rapids
94,"Frisco city, Texas",2016,145646,103681,11025,17324,22140,FC Dallas
95,"Atlanta city, Georgia",2017,456378,182794,239005,21838,18235,Atlanta United FC
96,"Seattle city, Washington",2017,668849,462673,47493,43868,94619,Seattle Sounders
97,"Orlando city, Florida",2017,263306,160607,69572,77009,10109,Orlando City
98,"New York city, New York",2017,8461961,3644982,2064927,2457945,1159883,New York City FC
99,"Carson city, California",2017,92780,27282,19830,37011,23963,Los Angeles Galaxy
100,"Newark city, New Jersey",2017,280139,68226,140750,100950,4914,New York Red Bulls
101,"Portland city, Oregon",2017,620589,482410,35465,60040,47045,Portland Timbers
102,"Minneapolis city, Minnesota",2017,404670,262130,76070,38832,23911,Minnesota United FC
103,"San Jose city, California",2017,1009363,425883,31096,329135,344188,San Jose Earthquakes
104,"Kansas City city, Kansas",2017,149755,88953,37530,43727,5786,Sporting Kansas City
105,"Foxborough CDP, Massachusetts",2017,5491,4975,400,225,114,New England Revolution
106,"Sandy city, Utah",2017,93141,83923,609,8021,2949,Real Salt Lake
107,"Washington city, District of Columbia",2017,659009,266035,318598,69106,24036,D.C. United
108,"Houston city, Texas",2017,2240582,1305482,511398,992886,149265,Houston Dynamo
109,"Bridgeview village, Illinois",2017,16381,14061,647,2783,849,Chicago Fire
110,"Chester city, Pennsylvania",2017,34056,6864,24268,4056,200,Philadelphia Union
111,"Columbus city, Ohio",2017,837038,511628,234021,48331,41204,Columbus Crew
112,"Commerce City city, Colorado",2017,51731,43617,1640,23598,992,Colorado Rapids
113,"Frisco city, Texas",2017,145646,103681,11025,17324,22140,FC Dallas
