Eastern Conference,,,,,,,,,,Western Conference,,,
Clubs,WIN,Loss,Points,,,,,,,Clubs,Win,Loss,Points
atlanta united,13,4,44,,,,,,,FC Dallas,11,3,39
NYC FC,12,4,40,,,,,,,LAFC,10,5,35
NY Red Bulls,12,5,38,,,,,,,Sporting KC,9,5,33
Columbus,9,7,33,,,,,,,LA Galaxy,9,7,31
Montreal,9,12,28,,,,,,,Portland,8,3,31
New England,7,7,28,,,,,,,Real salt Lake,9,9,30
Philadelphia,7,10,24,,,,,,,Minisota United,9,11,28
Chicago,6,11,23,,,,,,,Houston Dynamo,7,6,27
Orlando City,7,12,22,,,,,,,Vancouver,7,9,26
Toronto FC,5,11,19,,,,,,,Seattle Sounders,5,9,20
D.C. United,3,8,14,,,,,,,Colorodo,4,11,17
,,,,,,,,,,San Jose,2,11,12
